feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T63	E1	CRC	-0.562393180091656	0.189579021537444	104	52	0.00375174092887116	0.0049365012221989
T69	E1	CRC	-0.54611227182136	0.189906229717407	104	58	0.00490850090861059	0.00637467650468907
T46	E1	CRC	-0.459358937789363	0.185656406905577	104	51	0.0150017044908822	0.01923295447549
T65	E1	CRC	0.379992445465292	0.157318474215837	104	50	0.0174957224008717	0.0221464840517363
T88	E1	CRC	0.425288049161055	0.185667897232809	104	53	0.0240450958922904	0.030056369865363
T11	E1	CRC	-0.441477253429507	0.194016551300683	104	58	0.0249694971033849	0.0308265396338085
T42	E1	CRC	-0.429279934798797	0.191521894222102	104	48	0.0271657279488043	0.0331289365229321
T64	E1	CRC	0.352027590458442	0.193430946738086	104	53	0.0717050357874417	0.0863916093824599
T98	E1	CRC	0.274368421045255	0.192645084564075	104	55	0.157435835546072	0.187423613745324
T36	E1	CRC	0.252427531989688	0.19603924855038	104	45	0.200785965987587	0.236218783514808
T83	E1	CRC	-0.237972593461531	0.195911877523671	104	48	0.22728811680575	0.264288507913662
T16	E1	CRC	-0.206266314431489	0.187950736855533	104	54	0.275029277323338	0.31612560611878
T33	E1	CRC	0.211507873629122	0.195125569422667	104	61	0.280939092035338	0.319248968221975
T82	E1	CRC	0.1897871264553	0.196675425415955	104	52	0.336838986545834	0.378470771399814
T31	E1	CRC	-0.18241550866082	0.196001088186324	104	52	0.354213433137669	0.393570481264077
T100	E1	CRC	-0.159620576473749	0.184480346207229	104	55	0.388935157119066	0.427401271559413
T76	E1	CRC	0.145406653284608	0.195248841793433	104	53	0.458150545480273	0.497989723348122
T97	E1	CRC	-0.126875439903864	0.194267193105991	104	54	0.515162774711119	0.553938467431311
T95	E1	CRC	-0.109755987583654	0.191734590038775	104	51	0.568285512782539	0.604559056151638
T70	E1	CRC	0.110782598439885	0.196929095715334	104	53	0.574975194570582	0.605237046916402
T81	E1	CRC	-0.0797639020338662	0.194616095366456	104	54	0.682773624785984	0.711222525818733
T87	E1	CRC	0.0508113275811621	0.185539688555116	104	51	0.784748383117105	0.809018951667118
T14	E1	CRC	0.033287588845367	0.17644579747742	104	54	0.850737154301906	0.862114893454758
T75	E1	CRC	0.035874007185568	0.193776118884109	104	50	0.85349374452021	0.862114893454758
T91	E1	CRC	0.00188181730639803	0.197218211372636	104	48	0.992405495931521	0.992405495931521
